COD_IDCONTRA,COD_PERSONA,FAP_CONTR,IMP_CAPDIS,IMP_CAPINI,IMP_CAPPEN
00000000000000000279040161,381056,02MAY2016,0.00,0.00,0.00
00000000000000000280654585,381056,30MAY2016,0.00,0.00,0.00
00000000000000000280654661,381056,30MAY2016,0.00,0.00,0.00
00000000000000000355805849,381056,30JUN2016,0.00,0.00,0.00
00000000000000000358073559,381056,03AUG2016,0.00,0.00,0.00
00000000000000000358074836,381056,03AUG2016,0.00,0.00,0.00
00000000000000000358074859,381056,03AUG2016,0.00,300.00,0.00
00000000000000000359355016,381056,01SEP2016,0.00,212.58,36.74
00000000000000000359358794,381056,01SEP2016,0.00,0.00,0.00
00000000000000000359358795,381056,01SEP2016,0.00,0.00,0.00
00000000000000000363352183,381056,25OCT2016,0.00,150.00,51.47
00000000000000000366337279,381056,02DEC2016,0.00,291.64,197.30
00000000000000000366653379,381056,09DEC2016,0.00,300.00,153.33
00000000000000000367987979,381056,30DEC2016,0.00,381.05,193.35
00000000000000000372310530,381056,02MAR2017,0.00,472.90,472.90
00000000000000000359213240,382067,31AUG2016,23975.25,23975.25,22822.42
00000000000000000355570166,382797,28JUN2016,3084.66,3084.66,2414.26
00000000000000000268112237,384057,18NOV2015,6280.63,6280.63,3662.19
00000000000000000279044732,384057,02MAY2016,0.00,0.00,0.00
00000000000000000279044956,384057,02MAY2016,0.00,0.00,0.00
00000000000000000363717248,384057,28OCT2016,0.00,0.00,0.00
00000000000000000363802197,384057,31OCT2016,0.00,0.00,0.00
00000000000000000365470818,384057,22NOV2016,0.00,148.34,0.00
00000100000000001194132975,384057,18MAR2015,233676.66,233676.66,225078.92
00000000000000000356876152,384526,22JUL2016,20000.00,20000.00,0.00
00000000000000000147504706,386007,09MAR2012,66000.00,66000.00,50755.33
00000000000000000368723914,388752,19JAN2017,27000.00,27000.00,25833.93
00000000000000000368724565,388752,19JAN2017,29000.00,29000.00,27359.20
00000000000000000162206922,403757,04APR2016,0.00,0.00,0.00
00000000000000000267540429,403757,13NOV2015,4100.00,4100.00,481.70
00000000000000000079008917,404159,24FEB2010,139610.20,139610.20,125568.95
00000000000000000098217510,409779,05OCT2010,103728.88,103728.88,74758.01
00000000000000000267446181,409779,09NOV2015,0.00,0.00,0.00
00000000000000000021508282,410192,29DEC2006,53136.89,53136.89,39454.77
00000100000000000485778407,410192,18MAR2011,99275.23,84975.23,89274.43
